id,client_id,produit,date_commande
1,1,produit1,2024-10-04
2,2,produit2,2024-10-04
3,3,produit3,2024-10-04
5,5,produit5,2024-10-04
6,5,produit6,2024-10-04
7,6,produit6,2024-10-04
8,6,produit7,2024-10-04
9,7,produit7,2024-10-04
10,7,produit8,2024-10-04
11,8,produit8,2024-10-04
13,9,produit9,2024-10-04
14,9,produit10,2024-10-04
15,10,produit10,2024-10-04
16,10,produit11,2024-10-04
17,11,produit11,2024-10-04
18,11,produit12,2024-10-04
19,12,produit12,2024-10-04
20,12,produit13,2024-10-04
21,13,produit13,2024-10-04
22,13,produit14,2024-10-04
24,14,produit15,2024-10-04
25,15,produit15,2024-10-04
26,15,produit16,2024-10-04
29,17,produit17,2024-10-04
30,17,produit18,2024-10-04
31,18,produit18,2024-10-04
32,18,produit19,2024-10-04
33,19,produit19,2024-10-04
34,19,produit20,2024-10-04
35,20,produit20,2024-10-04
36,20,produit21,2024-10-04
38,21,produit22,2024-10-04
39,22,produit22,2024-10-04
40,22,produit23,2024-10-04
41,23,produit23,2024-10-04
42,23,produit24,2024-10-04
43,24,produit24,2024-10-04
44,24,produit25,2024-10-04
45,25,produit25,2024-10-04
46,25,produit26,2024-10-04
47,26,produit26,2024-10-04
48,26,produit27,2024-10-04
49,27,produit27,2024-10-04
50,27,produit28,2024-10-04
51,28,produit28,2024-10-04
52,28,produit29,2024-10-04
53,29,produit29,2024-10-04
54,29,produit30,2024-10-04
55,30,produit30,2024-10-04
56,30,produit31,2024-10-04
57,31,produit31,2024-10-04
58,31,produit32,2024-10-04
59,32,produit32,2024-10-04
60,32,produit33,2024-10-04
61,33,produit33,2024-10-04
62,33,produit34,2024-10-04
63,34,produit34,2024-10-04
64,34,produit35,2024-10-04
65,35,produit35,2024-10-04
66,35,produit36,2024-10-04
68,36,produit37,2024-10-04
69,37,produit37,2024-10-04
70,37,produit38,2024-10-04
71,38,produit38,2024-10-04
72,38,produit39,2024-10-04
73,39,produit39,2024-10-04
74,39,produit40,2024-10-04
75,40,produit40,2024-10-04
77,41,produit41,2024-10-04
78,41,produit42,2024-10-04
79,42,produit42,2024-10-04
80,42,produit43,2024-10-04
81,43,produit43,2024-10-04
82,43,produit44,2024-10-04
83,44,produit44,2024-10-04
84,44,produit45,2024-10-04
85,45,produit45,2024-10-04
86,45,produit46,2024-10-04
87,46,produit46,2024-10-04
88,46,produit47,2024-10-04
89,47,produit47,2024-10-04
90,47,produit48,2024-10-04
91,48,produit48,2024-10-04
92,48,produit49,2024-10-04
93,49,produit49,2024-10-04
94,49,produit50,2024-10-04
95,50,produit50,2024-10-04
96,50,produit51,2024-10-04
97,51,produit51,2024-10-04
98,51,produit52,2024-10-04
99,52,produit52,2024-10-04
100,52,produit53,2024-10-04
101,53,produit53,2024-10-04
102,53,produit54,2024-10-04
103,54,produit54,2024-10-04
104,54,produit55,2024-10-04
105,55,produit55,2024-10-04
106,55,produit56,2024-10-04
107,56,produit56,2024-10-04
108,56,produit57,2024-10-04
